ticker,category,selected,rest
PETuluku,Pet Supplies,0.00808,0.00474
Top Recambios,Automotive,0.00419,0.00728
Peggy Sue's,Restaurant,0.00179,0.00125
Bricoking,Home Improvement,0.00146,0.00211
Esquiades.com,Travel,0.02549,0.01874
Paco Martinez,Restaurant,0.00846,0.00961
Centauro,Sports,0.00433,0.00445
Blizzard,Gaming,0.02590,0.01039
Scalpers,Apparel,0.07057,0.04222
Ubisoft,Gaming,0.00320,0.00171
MasMovil,Telecom,0.11714,0.15777
Dia Market,Grocery,0.00889,0.00904
Calvin Klein,Apparel,0.01215,0.01073
Plus Fresc,Grocery,0.04145,0.03151
Game,Gaming,0.24625,0.19593
Euromaster,Automotive,0.00649,0.00659
Tryp,Travel,0.00813,0.00753
Paga+tarde,Financial Services,0.03438,0.02878
Wizink,Financial Services,0.55307,0.79087
Guissona,Grocery,0.00217,0.00419
Privalia,E-commerce,0.17129,0.14643
Cinepolis,Movies,0.00206,0.00163
NBQ Fund One,Financial Services,0.02192,0.03137
Autema,Automotive,0.00110,0.00100
Accesos de Madrid,Transportation,0.00482,0.00331
Servicios Financieros Carrefour,Financial Services,0.51746,0.88140
Perfumarte,Beauty,0.00059,0.00165
Domestic & General,Insurance,0.00625,0.00517
Dreambeach,Festivals,0.00417,0.00417
Brownie,Food,0.00822,0.00514
Verti,Insurance,0.07830,0.09821
Lefties,Apparel,0.06694,0.08422
Cines Lys,Movies,0.00099,0.00102
Tradicionarius,Food,0.00062,0.00039
Restaurante Ikea,Restaurant,0.02033,0.01731
MarcaApuestas,Gambling,0.00145,0.00802
Tesco,Grocery,0.00651,0.00937
GM Oil,Automotive,0.01316,0.01732
Basic Fit,Fitness,0.03761,0.03480
Papizza,Restaurant,0.00196,0.00160
Simply,Grocery,0.24481,0.26514
Max Colchon,Home Goods,0.01192,0.01094
Eurest,Restaurant,0.01494,0.01380
Aegon,Insurance,0.05506,0.06569
Metro Ligero Oeste,Transportation,0.00239,0.00183
Neocine,Movies,0.00344,0.00224
CPP,Financial Services,0.00160,0.00148
Tommy Hilfiger,Apparel,0.02052,0.01751
Promod,Apparel,0.00782,0.00478
El Corte Ingles Seguros,Insurance,0.03158,0.03140
Deliveroo,Delivery,0.32795,0.10676
Fnac,Retail Stores,0.42784,0.27083
Lufthansa,Airlines,0.04597,0.03310
Lupa,Financial Services,0.06916,0.09673
Deporticket,Tickets,0.00436,0.00411
Filmin,Streaming,0.01057,0.00183
Electro Depot,Electronics,0.00488,0.00609
BBVA Consumer Finance,Financial Services,0.12127,0.11296
Sephora,Beauty,0.09884,0.05927
Amoma.com,Travel,0.01161,0.01127
AC Hotels,Travel,0.00350,0.00225
Kaspersky,Cybersecurity,0.00241,0.00197
Paco perfumerias,Beauty,0.00628,0.00620
Sport Zone,Retail Stores,0.00998,0.01182
Sagardi,Restaurant,0.00197,0.00136
Caja Rural,Banking,0.02432,0.04275
Pedro del Hierro,Apparel,0.00760,0.00712
Autopista Madrid Levante,Transportation,0.00243,0.00159
Meroil,Fuel,0.02503,0.02180
Okeysi,Financial Services,0.00245,0.00251
Segurcaixa,Insurance,0.31293,0.33798
Lebara,Telecom,0.00165,0.00247
Legalitas,Legal Services,0.01160,0.01510
La Casa de la Carcasa,Electronics,0.00785,0.00745
Zara Home,Home Goods,0.15381,0.10457
El Arbol,Restaurant,0.05840,0.07264
Groupalia,Discounts,0.00373,0.00525
Ibis Hotels,Travel,0.02018,0.01692
Showroomprive,E-commerce,0.01111,0.00919
Perfumeria Julia,Beauty,0.00315,0.00360
La Sirena,Restaurant,0.05199,0.03667
Abercrombie,Apparel,0.01519,0.00971
Amazon Prime Now,Delivery,0.16683,0.06330
Massimo Dutti,Apparel,0.26592,0.20801
Virgin Active,Fitness,0.01337,0.01055
Udon,Restaurant,0.02451,0.01829
