ticker,category,selected,rest
Disney Store,Retail Stores,0.03194,0.02213
Iati Seguros,Insurance,0.01499,0.01208
Aquopolis,Attractions,0.00546,0.00428
Maxcoop,Grocery,0.00211,0.00221
Wok,Restaurant,0.02635,0.01842
Yves Rocher,Beauty,0.01145,0.01689
Grupo Santander Consumer Finance,Financial Services,0.95286,1.06067
Ulabox,Delivery,0.02900,0.01849
Europ Assistance,Insurance,0.00159,0.00205
Air Europa,Travel,0.08604,0.09097
