valuedate,revenue
2020-06-03,282277
2020-06-04,260264
2020-06-05,237859
2020-06-06,141381
2020-06-07,155266
2020-06-08,296357
2020-06-09,271027
2020-06-10,277325
2020-06-11,236083
2020-06-12,210103
2020-06-13,125182
2020-06-14,126152
2020-06-15,259070
2020-06-16,281016
2020-06-17,256433
2020-06-18,243089
2020-06-19,213075
2020-06-20,137764
2020-06-21,122878
2020-06-22,276729
2020-06-23,240743
2020-06-24,242326
2020-06-25,242257
2020-06-26,199172
2020-06-27,114391
2020-06-28,144892
2020-06-29,266778
2020-06-30,243334
2020-07-01,264102
2020-07-02,260904
2020-07-03,231542
2020-07-04,138079
2020-07-05,136934
2020-07-06,274482
2020-07-07,204046
2020-07-08,229899
2020-07-09,204845
2020-07-10,181727
2020-07-11,111906
2020-07-12,122234
2020-07-13,209275
2020-07-14,208239
2020-07-15,213723
2020-07-16,201417
2020-07-17,167426
2020-07-18,109798
2020-07-19,131078
2020-07-20,192381
2020-07-21,200772
2020-07-22,204685
2020-07-23,186434
2020-07-24,149550
2020-07-25,101916
2020-07-26,116888
2020-07-27,196676
2020-07-28,183492
2020-07-29,190429
2020-07-30,181077
2020-07-31,168546
2020-08-01,107143
2020-08-02,122011
2020-08-03,216020
2020-08-04,197463
2020-08-05,207279
2020-08-06,189585
2020-08-07,151393
2020-08-08,105518
2020-08-09,109672
2020-08-10,188462
2020-08-11,187355
2020-08-12,197923
2020-08-13,162385
2020-08-14,149897
2020-08-15,80510
2020-08-16,102768
2020-08-17,182670
2020-08-18,172301
2020-08-19,195782
2020-08-20,176492
2020-08-21,150975
2020-08-22,105643
2020-08-23,111542
2020-08-24,178218
2020-08-25,194778
2020-08-26,185120
2020-08-27,161875
2020-08-28,198190
2020-08-29,124860
2020-08-30,126283
2020-08-31,222814
2020-09-01,225676
2020-09-02,242902
2020-09-03,214182
2020-09-04,200784
2020-09-05,140969
2020-09-06,148990
2020-09-07,225957
2020-09-08,219092
2020-09-09,245874
