valuedate,revenue
2018-10-06,137
2018-10-07,70
2018-10-08,501
2018-10-09,357
2018-10-10,742
2018-10-11,104
2018-10-12,44
2018-10-13,176
2018-10-14,56
2018-10-15,193
2018-10-17,484
2018-10-18,198
2018-10-19,155
2018-10-20,272
2018-10-22,562
2018-10-23,236
2018-10-24,334
2018-10-25,303
2018-10-26,303
2018-10-27,248
2018-10-28,169
2018-10-29,124
2018-10-31,266
2018-11-01,450
2018-11-02,2157
2018-11-03,723
2018-11-04,39
2018-11-05,650
2018-11-06,401
2018-11-07,189
2018-11-08,232
2018-11-09,805
2018-11-10,324
2018-11-11,85
2018-11-12,197
2018-11-13,224
2018-11-14,274
2018-11-15,59
2018-11-16,331
2018-11-17,158
2018-11-18,48
2018-11-19,139
2018-11-20,239
2018-11-21,688
2018-11-22,246
2018-11-23,1355
2018-11-24,973
2018-11-25,273
2018-11-26,800
2018-11-27,741
2018-11-28,366
2018-11-29,400
2018-11-30,696
2018-12-01,514
2018-12-02,968
2018-12-03,615
2018-12-04,513
2018-12-05,434
2018-12-06,628
2018-12-07,436
2018-12-08,574
2018-12-09,109
2018-12-10,846
2018-12-11,433
2018-12-12,500
2018-12-13,228
2018-12-14,952
2018-12-15,490
2018-12-16,817
2018-12-17,1799
2018-12-18,869
2018-12-19,1684
2018-12-20,1532
2018-12-21,2472
2018-12-22,2191
2018-12-23,1077
2018-12-24,3251
2018-12-25,7
2018-12-26,2071
2018-12-27,2025
2018-12-28,1021
2018-12-29,1369
2018-12-30,1112
2018-12-31,3096
2019-01-01,61
2019-01-02,2573
2019-01-03,2265
2019-01-04,4701
2019-01-05,1718
2019-01-06,276
2019-01-07,1727
2019-01-08,1752
2019-01-09,1053
2019-01-10,774
2019-01-11,582
2019-01-12,333
2019-01-13,162
2019-01-14,255
2019-01-15,306
2019-01-17,415
2019-01-18,229
2019-01-19,128
2019-01-20,116
2019-01-21,772
2019-01-22,334
2019-01-23,156
2019-01-24,193
2019-01-25,421
2019-01-26,177
2019-01-27,68
2019-01-28,191
2019-01-29,248
2019-01-30,604
2019-01-31,231
2019-02-01,134
2019-02-02,646
2019-02-03,110
2019-02-04,660
2019-02-05,197
2019-02-06,319
2019-02-07,535
2019-02-08,597
2019-02-09,505
2019-02-10,358
2019-02-11,931
2019-02-12,1808
2019-02-13,1393
2019-02-14,1974
2019-02-15,442
2019-02-16,261
2019-02-17,302
2019-02-18,216
2019-02-19,84
2019-02-20,342
2019-02-21,83
2019-02-22,68
2019-02-23,603
2019-02-24,94
2019-02-25,13
2019-02-26,407
2019-02-28,136
2019-03-01,118
2019-03-02,598
2019-03-03,127
2019-03-04,349
2019-03-05,159
2019-03-07,95
2019-03-08,53
2019-03-09,335
2019-03-10,20
2019-03-11,49
2019-03-12,231
2019-03-13,276
2019-03-14,158
2019-03-15,430
2019-03-16,184
2019-03-17,80
2019-03-18,361
2019-03-19,142
2019-03-20,110
2019-03-21,325
2019-03-22,74
2019-03-23,84
2019-03-25,48
2019-03-26,85
2019-03-27,59
2019-03-28,133
2019-03-29,430
2019-03-30,138
2019-04-01,5
