valuedate,revenue
2018-08-27,7212
2018-08-28,7267
2018-08-29,5997
2018-08-30,6628
2018-08-31,4743
2018-09-01,4825
2018-09-02,4554
2018-09-03,9882
2018-09-04,8121
2018-09-05,7273
2018-09-06,6615
2018-09-07,6541
2018-09-08,4425
2018-09-09,4023
2018-09-10,8301
2018-09-11,6998
2018-09-12,6266
2018-09-13,5634
2018-09-14,5635
2018-09-15,3865
2018-09-16,3470
2018-09-17,6490
2018-09-18,6413
2018-09-19,5675
2018-09-20,7278
2018-09-21,5797
2018-09-22,4539
2018-09-23,3755
2018-09-24,7951
2018-09-25,7251
2018-09-26,5914
2018-09-27,5633
2018-09-28,6285
2018-09-29,4285
2018-09-30,6647
2018-10-01,10668
2018-10-02,9806
2018-10-03,8360
2018-10-04,5642
2018-10-05,7791
2018-10-06,4905
2018-10-07,4696
2018-10-08,8684
2018-10-09,8479
2018-10-10,6913
2018-10-11,5628
2018-10-12,4056
2018-10-13,4242
2018-10-14,4040
2018-10-15,9803
2018-10-16,6870
2018-10-17,5723
2018-10-18,5168
2018-10-19,6084
2018-10-20,5698
2018-10-21,3981
2018-10-22,8082
2018-10-23,8216
2018-10-24,6997
2018-10-25,5683
2018-10-26,5556
2018-10-27,4389
2018-10-28,4319
2018-10-29,7458
2018-10-30,8783
2018-10-31,5167
2018-11-01,5962
2018-11-02,9429
2018-11-03,5485
2018-11-04,4647
2018-11-05,8374
2018-11-06,8190
2018-11-07,8215
2018-11-08,6831
2018-11-09,6855
2018-11-10,4712
2018-11-11,3768
2018-11-12,8060
2018-11-13,7786
2018-11-14,6664
2018-11-15,5611
2018-11-16,5563
2018-11-17,3793
2018-11-18,3348
2018-11-19,7492
2018-11-20,9133
2018-11-21,6523
2018-11-22,6792
2018-11-23,6503
2018-11-24,4008
2018-11-25,3885
2018-11-26,7280
2018-11-27,8184
2018-11-28,7643
2018-11-29,6417
2018-11-30,9614
2018-12-01,5941
2018-12-02,6224
2018-12-03,11032
2018-12-04,8888
2018-12-05,8024
2018-12-06,5344
2018-12-07,8971
2018-12-08,4680
2018-12-09,4476
2018-12-10,9237
2018-12-11,7768
2018-12-12,7241
2018-12-13,6497
2018-12-14,6268
2018-12-15,4206
2018-12-16,4146
2018-12-17,7157
2018-12-18,6441
2018-12-19,6673
2018-12-20,7527
2018-12-21,6379
2018-12-22,4847
2018-12-23,4288
2018-12-24,7892
2018-12-25,5165
2018-12-26,8621
2018-12-27,6111
2018-12-28,8150
2018-12-29,4523
2018-12-30,5247
2018-12-31,6460
2019-01-01,5928
2019-01-02,12704
2019-01-03,8390
2019-01-04,7380
2019-01-05,4898
2019-01-06,5427
2019-01-07,10299
2019-01-08,9741
2019-01-09,8052
2019-01-10,6960
2019-01-11,6789
2019-01-12,4515
2019-01-13,4570
2019-01-14,8586
2019-01-15,7271
2019-01-16,6739
2019-01-17,5878
2019-01-18,5625
2019-01-19,4649
2019-01-20,5402
2019-01-21,8557
2019-01-22,9101
2019-01-23,7268
2019-01-24,6258
2019-01-25,6847
2019-01-26,4455
2019-01-27,4687
2019-01-28,8443
2019-01-29,8186
2019-01-30,8069
2019-01-31,4926
2019-02-01,10523
2019-02-02,5838
2019-02-03,5788
2019-02-04,9984
2019-02-05,9686
2019-02-06,8400
2019-02-07,7593
2019-02-08,7349
2019-02-09,5303
2019-02-10,4692
2019-02-11,9036
2019-02-12,8671
2019-02-13,6957
2019-02-14,5914
2019-02-15,5904
2019-02-16,4580
2019-02-17,4086
2019-02-18,7223
2019-02-19,7831
2019-02-20,8253
2019-02-21,7170
2019-02-22,7352
2019-02-23,4747
2019-02-24,4175
2019-02-25,8518
2019-02-26,7634
2019-02-27,7642
2019-02-28,17382
2019-03-01,10044
2019-03-02,8588
2019-03-03,6861
2019-03-04,13108
2019-03-05,10383
2019-03-06,8775
2019-03-07,7564
2019-03-08,7665
2019-03-09,4956
2019-03-10,4788
2019-03-11,9137
2019-03-12,8669
2019-03-13,6986
2019-03-14,6063
2019-03-15,5837
2019-03-16,4635
2019-03-17,4160
2019-03-18,7661
2019-03-19,7558
2019-03-20,8597
2019-03-21,7230
